TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies
rnd-5_family-2432	854	0	19	1	19	1
rnd-5_family-2243	2414	0	25	1	25	1
ltr-1_family-58	3525	0	789	8	789	8
rnd-1_family-385	2215	0	73	1	73	1
rnd-1_family-420	1655	0	92	7	92	7
rnd-1_family-433	2810	0	89	1	89	1
rnd-5_family-900	1916	0	25	5	25	5
ltr-1_family-103_inc	5044	0	31	1	31	1
ltr-1_family-106_inc	723	0	50	2	50	2
ltr-1_family-115_s_1_inc	7478	0	28	7	28	7
ltr-1_family-122_inc	4976	0	61	3	61	3
ltr-1_family-133_s_1_inc	2839	0	22	4	22	4
ltr-1_family-133_s_2_inc	1201	0	28	3	28	3
ltr-1_family-141_s_2_inc	1681	0	54	1	54	1
ltr-1_family-146_s_2_inc	1573	0	98	2	98	2
ltr-1_family-170_inc	6082	0	17	1	17	1
ltr-1_family-23_s_2_inc	5163	0	57	2	57	2
ltr-1_family-27_s_1_inc	3171	0	20	1	20	1
ltr-1_family-27_s_2_inc	1351	0	16	1	16	1
ltr-1_family-61_s_1_inc	721	0	14	2	14	2
ltr-1_family-61_s_2_inc	751	0	21	3	21	3
ltr-1_family-63_inc	4748	0	16	2	16	2
ltr-1_family-80_s_2_inc	789	0	22	8	22	8
ltr-1_family-88_s_2_inc	916	0	89	8	89	8
ltr-1_family-88_s_0_inc	455	0	69	10	69	10
ltr-1_family-94_inc	2459	0	15	1	15	1
ltr-1_family-96_s_2_inc	5194	0	139	2	139	2
ltr-1_family-100_inc	830	0	15	4	15	4
rnd-1_family-425_inc	765	0	97	2	97	2
rnd-1_family-430_inc	331	0	0	1	0	1
rnd-1_family-582_inc	6451	0	73	6	73	6
rnd-5_family-9471_inc	972	0	25	1	25	1
rnd-5_family-3135_inc	4383	0	121	1	121	1
rnd-5_family-11479_inc	2271	0	17	2	17	2
rnd-5_family-6045_inc	1300	0	25	4	25	4
rnd-1_family-153_unconfirmed	650	0	201	77	201	77
rnd-5_family-1253_unconfirmed	1252	0	56	8	56	8
rnd-1_family-133	1033	0	98	7	98	7
rnd-1_family-104	1165	0	288	2	288	2
rnd-1_family-255	1774	0	135	3	135	3
rnd-5_family-7909	1685	0	43	2	43	2
rnd-1_family-15_inc	5573	0	12574	2	12574	2
rnd-1_family-162_inc	2473	0	591	1	591	1
rnd-1_family-423_s_1_inc	3297	0	93	1	93	1
rnd-3_family-11_inc	2141	0	17505	1	17505	1
rnd-4_family-831_inc	802	0	61	1	61	1
rnd-5_family-1345_inc	757	0	50	6	50	6
rnd-5_family-2422_s_2_inc	2916	0	81	2	81	2
rnd-5_family-4894_inc	701	0	55	1	55	1
rnd-5_family-1630_inc	587	0	22	1	22	1
rnd-5_family-11239_inc	321	0	15	1	15	1
rnd-1_family-445	978	0	92	8	92	8
rnd-1_family-226_s_1	8037	0	18362	3	18362	3
